Temperature,Turbidity,Turbidity,PH,Dissolved oxygen
19.7,14,2176,7.47,5.24
19.6,18,1989,7.43,4.69
19.5,24,2176,7.4,4.21
19.5,35,2201,7.37,3.83
19.4,22,2191,7.36,5.63
19.3,19,2201,7.34,4.01
19.2,32,2207,7.32,3.51
19.1,19,2170,7.33,3.84
19.1,24,1983,7.31,3.35
19.1,15,2229,7.28,3.27
19,17,2210,7.28,3.04
19.2,8,2247,7.29,2.96
19.4,59,2247,7.34,4.11
19.6,12,2247,7.41,5.09
21,34,2218,7.99,10.68
20.2,9,2231,7.54,6.41
20,6,2247,7.46,5.8
19.9,20,2241,7.38,5.09
19.7,3,2244,7.26,2.84
20.4,7,2231,7.51,4.71
20.4,10,2204,7.59,8.4
20.1,11,2210,7.48,6.22
19.8,10,2216,7.35,4.41
19.6,6,2210,7.27,3.06
19.5,3,2204,7.23,2.37
19.5,16,2241,7.2,1.72
19.4,1,2260,7.2,1.56
19.4,6,2259,7.2,1.53
19.4,16,2182,7.21,1.83
19.4,1,2213,7.21,2.37
19.4,4,2213,7.21,2.18
19.4,6,2207,7.21,2.63
19.4,1,2204,7.19,2.28
19.5,8,2188,7.18,2.23
19.5,1,2192,7.17,2.06
19.7,1,2176,7.18,2.01
20.1,19,2173,7.22,2.99
20.5,9,2120,7.31,4.82
20.5,6,2136,7.24,3.57
20.2,17,2152,7.16,1.87
20.3,4,2133,7.18,1.97
21.9,15,2111,7.72,9.51
21.7,11,2083,7.54,7.59
21.4,11,2105,7.42,6.09
21,16,2105,7.32,4.91
20.7,6,2114,7.25,3.95
20.4,10,2114,7.22,3.39
20.3,19,2142,7.21,3.01
20.2,14,2145,7.18,3.04
20.1,1,2225,7.17,1.87
20,16,2241,7.16,1.63
20,1,2260,7.16,1.49
19.9,2,2213,7.14,2.03
19.9,,2219,7.15,1.85
20,5,2222,7.15,1.65
20,,2204,7.15,1.86
20,5,2219,7.14,1.75
19.9,,2370,7.16,1.5
19.8,16,2369,7.16,1.65
19.8,1,2369,7.17,1.89
19.8,17,2572,7.17,2.19
19.9,17,2522,7.18,2
20,17,2547,7.2,3.25
20.2,24,2681,7.24,3.23
20.4,29,2668,7.28,4.49
20.5,22,2777,7.25,3.75
20.4,19,3232,7.24,2.83
20.4,23,2980,7.31,3.4
20.4,26,2893,7.34,4.56
20.3,42,2541,7.27,3.63
20.1,17,2952,7.3,4.12
20.2,21,2871,7.29,3.91
20.2,36,3044,7.26,3.59
,21,,,3.37
19.9,17,2942,7.25,3.31
19.8,18,2933,7.27,3.93
19.9,18,2886,7.25,3.31
19.8,18,2995,7.23,3.57
19.8,17,2881,7.21,2.7
19.8,16,3004,7.21,2.69
19.7,29,2921,7.18,2.48
19.6,13,2871,7.17,2.05
19.6,12,2830,7.16,2.03
19.6,26,2862,7.16,1.69
19.6,11,2842,7.15,2.5
19.7,12,2878,7.15,1.9
19.8,11,2877,7.14,2.12
19.8,14,2868,7.16,2.36
19.9,19,2887,7.16,2.49
19.9,14,2881,7.14,2.5
19.9,17,2887,7.13,2.69
19.8,24,2892,7.13,1.86
19.8,12,2874,7.15,3.7
19.7,11,2877,7.15,2.71
19.6,25,2858,7.16,3.5
19.6,7,2874,7.14,3.48
19.6,7,2905,7.13,2.33
19.6,13,2899,7.12,1.76
19.6,6,2992,7.13,1.93
19.6,7,3025,7.13,2.05
19.5,7,3057,7.13,1.57
19.5,4,3041,7.13,2.45
19.4,20,3039,7.13,1.36
19.4,4,2985,7.11,1.96
19.4,4,2512,7.11,1.6
19.2,19,2985,7.11,2.21
19.2,6,2943,7.1,1.95
19.3,7,2964,7.11,1.54
19.4,16,2961,7.12,2.34
19.6,16,3050,7.15,3.94
20,10,2525,7.2,3.74
20.3,16,2266,7.31,5.29
20.3,13,2409,7.2,3.9
20.2,32,2497,7.18,3.56
20.6,13,2459,7.35,5.82
20.8,51,2494,7.59,7.53
20.3,48,2519,7.26,4.11
20.2,33,2525,7.29,4.61
20.1,26,2504,7.33,5.34
20,23,2382,7.3,4.91
20,19,2316,7.26,4.65
20,32,2450,7.18,2.51
19.9,21,2649,7.18,3.15
19.8,24,2593,7.21,3.57
20.1,34,2862,7.23,3.29
19.8,17,2846,7.19,3.8
19.8,15,2406,7.18,4.54
19.9,29,2839,7.19,3.34
19.8,7,2786,7.15,2.05
19.6,11,2706,7.15,2.79
19.4,7,2596,7.14,2.39
19.4,6,2581,7.14,2.32
19.4,7,2562,7.14,3.31
19.4,10,2565,7.17,3.5
19.7,19,2690,7.15,2.72
19.6,27,2662,7.22,3.84
19.8,13,2639,7.23,4.03
19.8,14,2633,7.26,4.16
19.8,35,2510,7.3,5.34
