Temperature,Turbidity,Turbidity,PH,Dissolved oxygen
18.9,258,2672,7.46,3.89
18.9,227,2694,7.48,3.76
18.8,164,2155,7.49,3.99
18.8,146,2260,7.47,3.8
18.7,139,2581,7.46,3.67
18.7,143,2494,7.46,3.52
18.8,212,2453,7.45,3.24
18.6,108,2516,7.44,3.18
18.6,123,2434,7.43,3.09
18.6,84,2459,7.44,3.12
18.5,67,2425,7.43,3.25
18.7,122,2621,7.42,2.55
18.8,157,3388,7.45,2.53
18.9,129,3420,7.5,3.57
18.8,201,3710,7.51,3.18
18.9,141,3660,7.5,2.82
19,159,2840,7.52,3.72
18.9,195,3491,7.51,3.05
19,162,3936,7.56,3.81
19.2,140,3855,7.61,4.6
18.8,187,4659,7.57,3.6
19,151,3871,7.66,4.59
18.9,165,4645,7.67,4.31
18.8,113,4199,7.68,4.75
18.8,128,4197,7.68,5.45
19,110,3283,7.67,4.66
18.9,106,4058,7.65,4.58
18.7,56,3264,7.64,5.06
18.6,55,3048,7.62,4.97
18.8,58,1379,7.62,4.94
18.8,62,3102,7.6,4.64
18.7,36,2472,7.62,5.54
18.4,26,942,7.6,5.56
18.4,24,2108,7.57,5.46
18.4,24,2087,7.56,5.11
18.4,44,2266,7.55,4.89
18.7,56,2599,7.57,4.93
18.8,72,2652,7.56,4.88
18.8,150,3855,7.6,4.48
19.2,91,2799,7.65,5.96
19.1,164,3452,7.68,5.57
19.6,110,2900,7.76,7.04
19.5,101,3216,7.72,6.45
19.8,87,3004,7.78,7.17
19.5,134,3706,7.79,6.62
19.6,155,3838,7.83,6.95
19.6,137,3886,7.81,6.7
19.5,139,4448,7.77,6.05
19.3,95,3889,7.78,6.69
19.3,114,3792,7.75,6.07
19.3,87,3991,7.74,6.03
19.2,73,3488,7.76,6.34
19.2,90,4141,7.72,5.74
19.2,82,3444,7.71,6.43
19.2,61,3565,7.66,5.48
19.2,64,3606,7.63,5.02
19.2,72,3656,7.62,4.94
19.2,63,1675,7.6,4.59
19.2,44,2878,7.59,4.91
19,31,2596,7.6,5.45
19.1,80,3229,7.54,4.55
19.2,67,3198,7.56,4.33
19.2,76,3001,7.56,4.88
19.3,87,3544,7.55,4.09
19.2,130,3101,7.64,5.52
19.3,132,3899,7.64,5.35
20.2,109,3171,7.87,7.91
19.7,125,3697,7.69,5.82
19.6,114,3133,7.74,6.11
19.9,177,3397,7.85,7.52
19.7,123,3659,7.79,6.98
19.7,110,3653,7.78,6.84
19.7,103,3513,7.82,7.07
19.7,95,3612,7.82,7.12
19.7,102,912,7.77,6.6
19.7,91,3672,7.75,5.95
19.6,80,3765,7.71,5.79
19.7,74,3599,7.76,7.02
19.7,86,3155,7.69,5.91
19.6,82,3744,7.67,5.45
19.4,72,2127,7.67,5.39
19.6,72,3491,7.64,5.37
19.5,67,3357,7.61,4.9
19.5,85,3360,7.58,4.48
19.5,84,3276,7.57,4.34
19.6,65,3450,7.6,4.8
19.7,58,3118,7.65,5.56
19.8,78,3023,7.66,5.87
19.7,70,3276,7.65,6.11
19.8,65,3326,7.67,5.92
20.3,60,2980,7.94,9
20.4,87,3222,7.98,8.63
20.4,132,3421,7.99,8.42
20.1,124,3646,7.85,7.05
20,115,3814,7.79,6.39
19.6,94,4542,7.67,4.72
19.6,99,4318,7.71,4.88
19.6,103,4138,7.65,4.31
19.8,106,4780,7.74,5.22
19.8,113,4536,7.72,4.84
19.7,74,4545,7.76,5.52
19.7,76,4504,7.74,5.27
19.8,85,4597,7.73,4.86
19.9,85,4771,7.73,4.6
19.7,63,4411,7.71,4.98
19.8,72,4560,7.67,4.53
19.7,77,4589,7.66,4.61
19.6,53,4343,7.65,4.53
19.6,67,4296,7.63,4.38
19.7,89,4511,7.62,4.12
19.8,101,4524,7.61,4.14
19.8,96,4697,7.63,4.61
19.8,107,4618,7.61,4.16
20,88,4591,7.7,5.13
20,92,4621,7.67,4.48
19.8,91,4520,7.65,4.34
19.7,106,4590,7.65,3.73
19.7,104,4878,7.65,3.75
19.7,111,5360,7.63,3.36
19.7,114,4661,7.73,4.24
19.7,133,5255,7.76,4.73
19.6,100,3851,7.74,4.69
19.6,74,4668,7.76,4.82
19.7,53,4032,7.73,4.81
19.7,45,3519,7.7,4.85
19.7,39,3507,7.66,4.82
19.6,49,3684,7.64,4.46
19.6,43,3098,7.63,4.41
19.4,34,3456,7.65,4.81
19.4,31,3079,7.63,5.21
19.3,29,3415,7.62,5.01
19.3,38,3390,7.6,4.9
19.2,35,3360,7.62,4.89
19.5,54,3450,7.6,4.61
19.8,66,3905,7.56,3.71
19.9,93,4044,7.55,3.73
20,101,4016,7.58,3.59
20,88,4076,7.62,4.33
19.9,88,3902,7.6,4.62
19.7,98,4215,7.6,4.46
19.8,97,4129,7.7,5.43
19.8,112,4237,7.65,5.48
19.8,93,4404,7.65,4.73
19.7,99,4386,7.64,4.65
19.8,118,4300,7.67,4.6
19.7,86,3729,7.66,4.85
19.6,79,4089,7.63,4.67
19.7,57,3479,7.6,4.46
19.8,45,3554,7.59,4.24
19.8,40,3429,7.56,4.23
19.6,38,3345,7.56,4.11
19.6,26,3109,7.64,5.38
19.6,31,3146,7.62,5.01
19.7,35,2857,7.55,3.96
19.5,31,3035,7.59,4.92
19.5,35,3014,7.59,4.94
19.5,35,3077,7.59,4.8
19.8,45,3311,7.51,3.56
20,54,3364,7.49,3.13
19.9,97,3302,7.64,5.39
20.1,62,2336,7.61,6.05
20.2,53,3286,7.69,6.77
20.5,64,2882,7.82,7.94
20.7,72,2999,8.04,9.76
20.8,64,2609,8.03,9.37
20.7,52,2719,8.1,10.34
20.5,44,2862,7.97,9.27
20.2,54,3105,7.77,7.05
20.4,49,2652,7.84,7.62
20.1,59,3099,7.65,6.24
20.1,50,2852,7.67,6.18
20.1,42,1710,7.71,6.75
20,50,3413,7.6,4.88
19.9,53,3678,7.58,4.61
19.9,51,3207,7.59,4.78
19.9,55,3808,7.58,4.59
19.8,67,4207,7.56,3.63
19.7,45,3753,7.58,4.5
19.6,43,3083,7.57,4.43
19.6,49,3615,7.55,4.02
19.5,51,3544,7.56,4.07
19.4,67,3016,7.56,4.09
19.5,44,3434,7.63,5.32
19.6,47,3478,7.67,5.24
19.7,62,3519,7.61,4.69
19.7,70,3599,7.56,4.34
19.8,60,3581,7.64,5.3
19.7,78,3734,7.66,5.15
19.7,73,3364,7.76,6.15
19.6,73,3668,7.76,6.33
19.6,64,3756,7.76,6.13
19.4,58,3198,7.73,6.11
19.4,68,3845,7.73,6.25
19.3,67,3257,7.72,6.17
19.2,60,3478,7.71,6.14
19.1,65,3681,7.65,5.32
19.1,66,3974,7.68,4.84
19.1,66,3550,7.64,4.68
19,56,3826,7.6,3.96
19,32,3351,7.54,3.85
19.1,23,2675,7.52,4
19,24,2379,7.49,3.98
18.9,34,2394,7.48,3.82
18.8,32,2482,7.48,3.78
18.8,36,2429,7.5,3.94
19,62,2532,7.48,3.72
19.2,50,2631,7.53,4.34
19.3,50,2912,7.48,3.64
19.3,141,3042,7.54,4.19
19.6,159,1432,7.55,4.6
19.5,160,2681,7.53,4.2
19.8,135,2833,7.56,4.68
19.9,105,2684,7.64,5.34
19.6,109,2949,7.57,4.53
19.3,111,3264,7.53,3.88
19.3,94,3357,7.52,3.62
19.3,103,3348,7.52,3.45
19,97,2706,7.53,4.73
19.1,94,3335,7.49,3.36
19.2,93,3462,7.48,3
19.3,86,3554,7.53,3.26
18.7,86,3280,7.55,3.92
18.7,81,2940,7.52,3.71
18.7,42,2946,7.51,3.92
19.1,59,3487,7.51,3.01
19.2,72,3385,7.49,2.69
19.2,63,3829,7.49,2.93
18.5,42,3173,7.51,3.53
19.1,63,3826,7.5,2.56
19.1,80,4007,7.5,2.85
18.9,160,4218,7.55,3.82
18.9,147,3927,7.57,4.06
18.9,97,3596,7.67,4.55
18.9,126,4181,7.58,4.57
19,119,4162,7.58,4.12
19.1,102,4288,7.61,4.5
19.4,85,4144,7.66,5.12
19.3,93,3942,7.61,4.65
19.2,100,4211,7.59,4.44
19.1,86,3994,7.59,4.61
19.1,90,3730,7.59,4.42
19.1,86,4230,7.57,4.25
19,87,4282,7.56,3.93
19,80,4390,7.57,4.07
18.9,75,3547,7.58,4.27
18.6,62,3762,7.56,4.18
18.8,73,3544,7.53,3.66
18.8,50,3369,7.51,3.38
18.8,54,3697,7.53,3.37
18.7,50,3506,7.51,3.35
18.6,55,3308,7.49,3.23
18.3,53,3088,7.49,3.89
18.2,33,2899,7.53,5.49
18.2,33,2476,7.54,5.51
18.5,33,1842,7.56,6.03
18.6,50,3070,7.51,4.88
18.7,47,2466,7.59,5.95
18.7,46,2930,7.54,5.84
19.1,42,2827,7.64,7.18
18.6,44,3179,7.49,4.29
