observed,predicted
3.740558089508907,3.800000186464148
3.3685003981004087,3.2999997934869025
3.075462853975003,2.900000052829714
2.8615256275978127,2.5999997566513007
2.6906858389612087,2.4999998592320454
2.555650542401587,2.4999998592320454
2.4481976603487987,2.4999998592320454
2.3568368477024673,2.3999999618127874
2.28287831029376,2.3999999618127874
2.292986733986821,2.5999997566513007
2.4817699107556006,2.900000052829714
3.0504794119477427,3.500000343226217
7.879071791216511,6.299999793486903
6.111898989223636,6.200000002611416
5.265372107604886,5.160000201081552
4.5602753959070075,4.560000002611416
4.541109160402688,4.54000186464148
4.602600036824579,4.600000358753062
4.491961284664054,4.490000358753061
4.311775069203472,4.310000186464148
4.157571482471082,4.300000503951313
4.399105994900896,4.200000002611416
4.632085631742197,4.400000174900331
4.467164756075257,4.400000174900331
5.911043967267046,6.100000167299543
6.149413256126047,6.6000001828263875
6.6471666868674815,7.200000171262569
7.268396448585302,7.8000004616590735
7.858010058853295,8.500000347514513
8.457795051541197,8.9999998346108
9.022501011822403,9.600000125007298
9.50344921837016,9.999999714684328
9.864610973569421,10.399999908281996
10.08854444538056,10.800000101879666
10.164979359378668,10.70000050642073
10.116852923478323,10.199999811483165
3.5682305423726093,3.5999999386851527
3.7189688324655714,3.5999999386851527
3.8322557388928886,3.7000001380647296
3.9907137955626486,3.900000234863565
4.031106272751124,4.000000358753062
4.008363074342541,4.000000358753062
4.068834554030775,3.900000234863565
4.1797815699336125,3.900000234863565
4.305962182051386,3.800000186464148
4.403148186732869,3.7000001380647296
4.448278194881627,3.5999999386851527
4.480818948833192,3.5999999386851527
8.23607162731667,8.100000757837487
8.08483721641693,7.899999755157688
8.054601325592657,7.8000004616590735
8.181975737838,7.8000004616590735
8.352353829144374,7.899999755157688
8.483289259450785,8.100000757837487
8.673071320960176,8.400000148134934
8.970331327228964,8.699999538432385
9.25521579171748,9.100000637911016
9.451178980989953,9.500000227588044
9.478506691966345,9.600000125007298
9.447769547009841,9.600000125007298
5.48798155418206,5.4000000549738605
5.318757951544012,5.300000450078666
5.382603271639567,5.1999998876979605
5.344892730528755,5.100000277789751
5.3685444331794825,5.100000277789751
5.47432575725992,5.100000277789751
5.623303562066109,5.100000277789751
5.676676143341777,5.100000277789751
5.645074335007179,5.1999998876979605
5.65029998482574,5.300000450078666
5.716661200567658,5.600000227262778
5.849993705134265,5.800000399551692
