tem,tur,elec,PH,oxy
18.4,201.3,3190.6,7.2,4.7
18.4,218,3205.5,7.2,5
18.5,232,3200.2,7.3,5.3
18.6,234,3141.1,7.3,5.6
18.6,221.7,3066.2,7.3,5.8
18.6,209.1,3006.5,7.3,5.8
18.7,186.3,2940.8,7.3,5.8
18.7,159.8,2857.5,7.2,5.8
18.6,145.5,2762.9,7.2,5.8
18.6,133.9,2673.8,7.2,5.8
18.6,122.7,2620.8,7.2,5.8
18.6,128,2595.9,7.2,5.7
18.6,133.8,2626,7.2,5.5
18.5,136.4,2649.9,7.2,5.4
18.5,140.6,2671.6,7.2,5.2
18.5,141.9,2694,7.2,5.1
18.4,152.8,2706.5,7.2,4.9
18.4,164.8,2745.7,7.2,4.7
18.5,185.1,2748.8,7.2,4.7
18.5,222.7,2664.2,7.2,4.7
18.6,255.5,2477.4,7.2,4.6
18.7,299.9,2347.8,7.2,4.4
18.8,351.5,2270.1,7.2,4.1
18.9,386.8,2226.2,7.2,4
18.9,403.2,2212.2,7.3,3.9
19,388.2,2218.8,7.3,3.9
19,344.8,2239.1,7.3,3.9
19,308.9,2267.8,7.3,4
19,283.6,2304.2,7.4,4.1
19,268.6,2351.8,7.4,4.2
18.9,260.1,2416.8,7.4,4.2
18.9,249.2,2474.3,7.4,4.1
18.9,233.1,2503.5,7.5,4
18.9,211.5,2487.5,7.5,3.9
18.8,187.4,2432.7,7.5,3.8
18.8,168.4,2418.1,7.5,3.7
18.7,155.8,2434.4,7.5,3.6
18.7,148.4,2438.5,7.5,3.5
18.7,142.3,2441,7.4,3.3
18.6,127.2,2453.7,7.4,3.2
18.6,115.7,2479.8,7.4,3.1
18.6,107.2,2545,7.4,3
18.6,107.6,2663.3,7.4,3
18.7,118.9,2851.6,7.4,2.9
18.8,133.2,3086.7,7.5,2.9
18.8,145.1,3270,7.5,3
18.9,157.5,3401.4,7.5,3.1
18.9,162.1,3464.9,7.5,3.2
18.9,167,3502.4,7.5,3.4
19,170.6,3649.8,7.5,3.5
19,168.6,3840.6,7.6,3.8
19,165.3,4017.5,7.6,4
19,163.5,4183.6,7.6,4.1
18.9,156.3,4236.6,7.6,4.4
18.9,147.1,4269.3,7.7,4.5
18.9,133.5,4179.9,7.7,4.7
18.9,121.1,4013.9,7.7,4.8
18.9,107,3766.8,7.7,4.9
18.8,91.9,3535.1,7.7,4.9
18.8,75.4,3200,7.6,4.9
18.7,63,2841.3,7.6,5
18.7,53.6,2485.1,7.6,5
18.7,45.5,2323.7,7.6,5.1
18.6,37.2,2119.2,7.6,5.2
18.5,32,1942.4,7.6,5.2
18.5,31.6,1992.2,7.6,5.2
18.5,37,2120.4,7.6,5.1
18.5,48.7,2317.1,7.6,5
18.6,64.6,2555.7,7.6,5
18.8,83.2,2793.5,7.6,5.1
18.9,102.3,3020,7.6,5.2
19.1,112,3094.2,7.6,5.6
19.3,120.4,3169.5,7.7,5.9
19.4,119.9,3198.9,7.7,6.3
19.5,118.9,3279.7,7.7,6.6
19.6,120.7,3397.5,7.8,6.7
19.6,127.3,3588,7.8,6.8
19.6,131.8,3763.5,7.8,6.8
19.5,130.2,3903.6,7.8,6.7
19.5,124.3,4000.3,7.8,6.5
19.4,114,3987.8,7.8,6.4
19.3,105.1,3946.6,7.8,6.3
19.3,95,3898,7.8,6.2
19.2,86.7,3817.7,7.7,6.1
19.2,81.1,3757.5,7.7,5.9
19.2,75.1,3622.8,7.7,5.8
19.2,68.7,3484.8,7.7,5.5
19.2,64.2,3314.7,7.6,5.3
19.2,60.7,3096.8,7.6,5
19.2,56.8,2838.4,7.6,4.9
19.1,54,2802,7.6,4.8
19.1,55.6,2837.7,7.6,4.8
19.1,63.6,2958.5,7.6,4.7
19.2,72.1,3070.8,7.6,4.7
19.2,83,3173,7.6,4.8
19.3,95.8,3292.2,7.6,5
19.4,109.3,3366,7.6,5.4
19.5,118.3,3451,7.7,5.8
19.7,123.1,3454.6,7.7,6.3
19.7,127.7,3473.2,7.7,6.4
19.7,130.8,3451.1,7.8,6.7
19.8,133.2,3459.9,7.8,6.9
19.8,126.5,3459.6,7.8,7
19.7,117.9,3403.2,7.8,7
19.7,109.4,3285,7.8,7
19.7,101.9,3131.4,7.8,6.8
19.7,96,2964.1,7.8,6.6
19.7,90,3131.4,7.8,6.4
19.7,84.7,3263.9,7.7,6.3
19.6,81.2,3309.4,7.7,6.1
19.6,79.5,3283.2,7.7,5.9
19.6,77.6,3250,7.7,5.6
19.5,75.4,3157.7,7.7,5.3
19.5,74.2,3218.3,7.6,5.1
19.5,73.7,3258.1,7.6,4.9
19.5,74.1,3278.1,7.6,4.8
19.6,72.8,3273.8,7.6,4.8
19.6,69.9,3254.9,7.6,5
19.7,68.3,3204.2,7.6,5.4
19.8,69.3,3171.5,7.7,5.9
19.9,70.7,3175.8,7.7,6.4
20,74.3,3190.5,7.8,7
20.1,81.3,3220.1,7.8,7.6
