tem,tur,elec,PH,oxy
18.3,37.1,2851.5,7.6,5.7
18.3,36.4,2836.2,7.5,5.4
18.2,35.8,2841.4,7.5,5.1
18.1,34.7,2833.6,7.5,4.9
18,33.4,2825.1,7.5,4.8
18,33.3,2857.8,7.5,4.7
18,34.5,2927.4,7.5,4.7
18.1,37.7,3028.7,7.5,4.6
18.2,42.1,3144.1,7.5,4.5
18.3,47.5,3262.8,7.5,4.4
18.5,53.7,3373.5,7.5,4.3
18.6,60.4,3465.3,7.5,4.3
18.6,68.5,3512.2,7.5,4.3
18.7,75.7,3519.8,7.5,4.4
18.6,78.2,3529.3,7.5,4.4
18.6,77.3,3549.4,7.5,4.3
18.5,75.4,3548.2,7.5,4.4
18.3,71.9,3530.2,7.5,4.4
18.2,68.1,3499.8,7.5,4.5
18.1,64.7,3463.9,7.5,4.6
18,62,3427.9,7.6,4.7
17.9,59.5,3416.1,7.6,4.8
17.9,56.8,3442.9,7.6,4.8
17.8,53.8,3525.8,7.5,4.9
17.8,50.9,3658.5,7.5,4.9
17.8,47.9,3745.7,7.5,4.9
17.6,45.8,3750,7.5,4.9
17.5,45.1,3717.3,7.5,4.9
17.3,45.7,3665.7,7.5,4.9
17.3,47,3625.2,7.5,4.9
17.2,48.5,3619.2,7.5,4.9
17.3,50.4,3647.9,7.5,4.9
17.3,53,3711.1,7.5,5
17.5,55.8,3793.1,7.5,5
17.6,58.6,3885.5,7.5,5.1
17.7,61.3,3979.9,7.6,5.1
17.8,63.5,4067.9,7.6,5.1
17.9,64.8,4124.9,7.6,5.2
17.9,65,4181.4,7.6,5
17.9,65.8,4248.8,7.6,4.7
17.9,66.5,4291.4,7.6,4.5
17.8,67.2,4298.9,7.6,4.4
17.8,67.9,4252.5,7.6,4.5
17.7,66.9,4168.6,7.6,4.7
17.6,65.5,4051.2,7.6,4.8
17.5,65.1,3926.6,7.6,4.9
17.4,65.1,3786.5,7.6,5.1
17.3,65.2,3581,7.6,5.3
17.1,65.9,3399.1,7.6,5.4
17,68,3141.8,7.6,5.6
16.9,68.9,2924.4,7.6,5.7
16.9,68.5,2741.1,7.6,5.8
16.9,67,2605.8,7.6,5.8
16.9,65,2507.1,7.6,5.9
17,62.8,2443.8,7.6,5.9
17,60.6,2415,7.6,5.9
17.1,59.5,2421.1,7.6,5.8
17.2,58.8,2454.8,7.5,5.7
17.2,58.4,2511.5,7.5,5.5
17.3,58.2,2586.7,7.5,5.3
17.3,58.1,2675.7,7.5,5.2
17.4,58,2774,7.5,5.1
17.4,57.7,2877,7.5,5
17.5,56.9,2981.7,7.5,5
17.5,56.1,3070.7,7.5,5.2
17.5,54.7,3176.2,7.5,5.2
17.5,52.8,3265.2,7.5,5.4
17.5,50.1,3311.8,7.6,5.7
17.5,46.5,3310.9,7.6,5.8
17.4,43.8,3269.4,7.6,5.8
17.2,40.9,3200.9,7.6,5.8
17.1,38.1,3114.6,7.6,5.8
17,36.3,3030.6,7.6,5.8
16.9,35.8,2949.5,7.6,5.9
16.9,36.2,2863.4,7.6,6
16.9,37.6,2785.8,7.6,6
16.9,38.9,2705.6,7.6,6.1
17,41.1,2630.3,7.6,6.2
17.1,42.9,2597.4,7.6,6.3
17.1,43.9,2621.4,7.6,6.1
17.2,44.7,2707.9,7.5,5.7
17.2,46.5,2810.9,7.5,5.3
17.3,46.7,2912.6,7.5,4.9
