tem,PH,elec,tur,oxy
18.4,7.2,3190.6,201.3,4.7
18.4,7.2,3205.5,218,5
18.5,7.3,3200.2,232,5.3
18.6,7.3,3141.1,234,5.6
18.6,7.3,3066.2,221.7,5.8
18.6,7.3,3006.5,209.1,5.8
18.7,7.3,2940.8,186.3,5.8
18.7,7.2,2857.5,159.8,5.8
18.6,7.2,2762.9,145.5,5.8
18.6,7.2,2673.8,133.9,5.8
18.6,7.2,2620.8,122.7,5.8
18.6,7.2,2595.9,128,5.7
18.6,7.2,2626,133.8,5.5
18.5,7.2,2649.9,136.4,5.4
18.5,7.2,2671.6,140.6,5.2
18.5,7.2,2694,141.9,5.1
18.4,7.2,2706.5,152.8,4.9
18.4,7.2,2745.7,164.8,4.7
18.5,7.2,2748.8,185.1,4.7
18.5,7.2,2664.2,222.7,4.7
18.6,7.2,2477.4,255.5,4.6
18.7,7.2,2347.8,299.9,4.4
18.8,7.2,2270.1,351.5,4.1
18.9,7.2,2226.2,386.8,4
18.9,7.3,2212.2,403.2,3.9
19,7.3,2218.8,388.2,3.9
19,7.3,2239.1,344.8,3.9
19,7.3,2267.8,308.9,4
19,7.4,2304.2,283.6,4.1
19,7.4,2351.8,268.6,4.2
18.9,7.4,2416.8,260.1,4.2
18.9,7.4,2474.3,249.2,4.1
18.9,7.5,2503.5,233.1,4
18.9,7.5,2487.5,211.5,3.9
18.8,7.5,2432.7,187.4,3.8
18.8,7.5,2418.1,168.4,3.7
18.7,7.5,2434.4,155.8,3.6
18.7,7.5,2438.5,148.4,3.5
18.7,7.4,2441,142.3,3.3
18.6,7.4,2453.7,127.2,3.2
18.6,7.4,2479.8,115.7,3.1
18.6,7.4,2545,107.2,3
18.6,7.4,2663.3,107.6,3
18.7,7.4,2851.6,118.9,2.9
18.8,7.5,3086.7,133.2,2.9
18.8,7.5,3270,145.1,3
18.9,7.5,3401.4,157.5,3.1
18.9,7.5,3464.9,162.1,3.2
18.9,7.5,3502.4,167,3.4
19,7.5,3649.8,170.6,3.5
19,7.6,3840.6,168.6,3.8
19,7.6,4017.5,165.3,4
19,7.6,4183.6,163.5,4.1
18.9,7.6,4236.6,156.3,4.4
18.9,7.7,4269.3,147.1,4.5
18.9,7.7,4179.9,133.5,4.7
18.9,7.7,4013.9,121.1,4.8
18.9,7.7,3766.8,107,4.9
18.8,7.7,3535.1,91.9,4.9
18.8,7.6,3200,75.4,4.9
18.7,7.6,2841.3,63,5
18.7,7.6,2485.1,53.6,5
18.7,7.6,2323.7,45.5,5.1
18.6,7.6,2119.2,37.2,5.2
18.5,7.6,1942.4,32,5.2
18.5,7.6,1992.2,31.6,5.2
18.5,7.6,2120.4,37,5.1
18.5,7.6,2317.1,48.7,5
18.6,7.6,2555.7,64.6,5
18.8,7.6,2793.5,83.2,5.1
18.9,7.6,3020,102.3,5.2
19.1,7.6,3094.2,112,5.6
19.3,7.7,3169.5,120.4,5.9
19.4,7.7,3198.9,119.9,6.3
19.5,7.7,3279.7,118.9,6.6
19.6,7.8,3397.5,120.7,6.7
19.6,7.8,3588,127.3,6.8
19.6,7.8,3763.5,131.8,6.8
19.5,7.8,3903.6,130.2,6.7
19.5,7.8,4000.3,124.3,6.5
19.4,7.8,3987.8,114,6.4
19.3,7.8,3946.6,105.1,6.3
19.3,7.8,3898,95,6.2
19.2,7.7,3817.7,86.7,6.1
19.2,7.7,3757.5,81.1,5.9
19.2,7.7,3622.8,75.1,5.8
19.2,7.7,3484.8,68.7,5.5
19.2,7.6,3314.7,64.2,5.3
19.2,7.6,3096.8,60.7,5
19.2,7.6,2838.4,56.8,4.9
19.1,7.6,2802,54,4.8
19.1,7.6,2837.7,55.6,4.8
19.1,7.6,2958.5,63.6,4.7
19.2,7.6,3070.8,72.1,4.7
19.2,7.6,3173,83,4.8
19.3,7.6,3292.2,95.8,5
19.4,7.6,3366,109.3,5.4
19.5,7.7,3451,118.3,5.8
19.7,7.7,3454.6,123.1,6.3
19.7,7.7,3473.2,127.7,6.4
19.7,7.8,3451.1,130.8,6.7
19.8,7.8,3459.9,133.2,6.9
19.8,7.8,3459.6,126.5,7
19.7,7.8,3403.2,117.9,7
19.7,7.8,3285,109.4,7
19.7,7.8,3131.4,101.9,6.8
19.7,7.8,2964.1,96,6.6
19.7,7.8,3131.4,90,6.4
19.7,7.7,3263.9,84.7,6.3
19.6,7.7,3309.4,81.2,6.1
19.6,7.7,3283.2,79.5,5.9
19.6,7.7,3250,77.6,5.6
19.5,7.7,3157.7,75.4,5.3
19.5,7.6,3218.3,74.2,5.1
19.5,7.6,3258.1,73.7,4.9
19.5,7.6,3278.1,74.1,4.8
19.6,7.6,3273.8,72.8,4.8
19.6,7.6,3254.9,69.9,5
19.7,7.6,3204.2,68.3,5.4
19.8,7.7,3171.5,69.3,5.9
19.9,7.7,3175.8,70.7,6.4
20,7.8,3190.5,74.3,7
20.1,7.8,3220.1,81.3,7.6
20.2,7.9,3323.8,92.6,7.8
20.2,7.9,3485.5,104.2,7.6
20.1,7.9,3688.8,109.7,7
20,7.8,3912.7,110.1,6.4
19.8,7.8,4139.5,107.5,5.7
19.7,7.7,4285.9,105.5,5.2
19.7,7.7,4396,103.6,5
19.7,7.7,4509.1,100.8,4.9
19.7,7.7,4557,96.3,5
19.7,7.7,4580.4,88.9,5
19.7,7.7,4590.3,83.5,5
19.8,7.7,4597.7,79.9,4.9
19.8,7.7,4591.4,76.2,4.8
19.8,7.7,4550.7,72.2,4.8
19.7,7.7,4522.7,70.5,4.6
19.7,7.7,4490.8,70.1,4.6
19.7,7.6,4454.2,70.7,4.5
19.7,7.6,4448.4,75.6,4.4
19.7,7.6,4481.2,82.9,4.3
19.8,7.6,4523,89.5,4.4
19.8,7.6,4568,93.6,4.4
19.8,7.6,4594.9,96.1,4.4
19.9,7.6,4618.7,96.4,4.5
19.9,7.7,4651.3,97.7,4.3
19.8,7.7,4696.9,100.3,4.2
19.8,7.7,4771.1,104.4,4
19.7,7.7,4857.5,107.8,4
19.7,7.7,4901.2,110.3,4
19.7,7.7,4825.4,110.1,4.2
19.7,7.7,4705.5,105.8,4.4
19.7,7.7,4466.9,94.3,4.6
19.7,7.7,4277.6,79.5,4.7
19.7,7.7,4027,65.2,4.8
19.7,7.7,3782.6,53.9,4.8
19.6,7.7,3600.8,46,4.8
19.6,7.7,3467.8,41.2,4.7
19.5,7.6,3346.4,37.2,4.8
19.4,7.6,3298.4,34,4.8
19.4,7.6,3273.8,32.7,4.9
19.4,7.6,3314.1,34,4.9
19.4,7.6,3376.8,38.5,4.8
19.4,7.6,3467.4,45.6,4.6
19.5,7.6,3596.3,56.1,4.4
19.7,7.6,3754.9,67.9,4.2
19.8,7.6,3886.4,79.5,4
19.9,7.6,3978.2,87.7,4.1
19.9,7.6,4045.7,92.1,4.3
19.9,7.6,4097.2,95.5,4.5
19.8,7.6,4165.8,98.9,4.7
19.8,7.6,4218,101.4,4.9
19.8,7.7,4263.5,103.2,5
19.8,7.7,4283,102.2,4.9
19.8,7.7,4246.1,100.4,4.8
19.7,7.7,4147.3,96.4,4.7
19.7,7.6,3995.8,86.8,4.7
19.7,7.6,3859.2,75.4,4.6
19.7,7.6,3686.8,62.8,4.5
19.7,7.6,3544.5,51.6,4.4
19.7,7.6,3411.5,42.8,4.4
19.7,7.6,3289.4,36.4,4.5
19.6,7.6,3178.1,32,4.6
19.6,7.6,3099.6,30.6,4.6
19.6,7.6,3045,31.1,4.5
19.6,7.6,3044.7,33,4.5
19.6,7.6,3069.5,36.7,4.5
19.6,7.6,3111.2,42.2,4.4
19.8,7.6,3149.5,49.6,4.3
19.9,7.6,3143.5,57.6,4.6
20,7.6,3081.7,64.8,5.3
20.1,7.7,2980.8,65.5,6.1
20.3,7.8,2966,64.9,7.1
20.5,7.8,2915,64.6,8
20.6,7.9,2869.3,63.5,8.8
20.6,8,2815.6,60.4,9.1
20.6,8,2803.3,56.4,9.2
20.5,7.9,2815.5,53.3,8.8
20.4,7.9,2825.8,52.1,8.1
20.3,7.8,2802.4,51.2,7.5
20.2,7.7,2807.6,51.1,6.9
