tem,PH,tur,elec,oxy
18.9,7.48,227,2694,3.76
18.8,7.49,164,2155,3.99
18.8,7.47,146,2260,3.8
18.7,7.46,139,2581,3.67
18.7,7.46,143,2494,3.52
18.8,7.45,212,2453,3.24
18.6,7.44,108,2516,3.18
18.6,7.43,123,2434,3.09
18.6,7.44,84,2459,3.12
18.5,7.43,67,2425,3.25
18.7,7.42,122,2621,2.55
18.8,7.45,157,3388,2.53
18.9,7.5,129,3420,3.57
18.8,7.51,201,3710,3.18
18.9,7.5,141,3660,2.82
19,7.52,159,2840,3.72
18.9,7.51,195,3491,3.05
19,7.56,162,3936,3.81
19.2,7.61,140,3855,4.6
18.8,7.57,187,4659,3.6
19,7.66,151,3871,4.59
18.9,7.67,165,4645,4.31
18.8,7.68,113,4199,4.75
18.8,7.68,128,4197,5.45
19,7.67,110,3283,4.66
18.9,7.65,106,4058,4.58
18.7,7.64,56,3264,5.06
18.6,7.62,55,3048,4.97
18.8,7.62,58,1379,4.94
18.8,7.6,62,3102,4.64
18.7,7.62,36,2472,5.54
18.4,7.6,26,942,5.56
18.4,7.57,24,2108,5.46
18.4,7.56,24,2087,5.11
18.4,7.55,44,2266,4.89
18.7,7.57,56,2599,4.93
18.8,7.56,72,2652,4.88
18.8,7.6,150,3855,4.48
19.2,7.65,91,2799,5.96
19.1,7.68,164,3452,5.57
19.6,7.76,110,2900,7.04
19.5,7.72,101,3216,6.45
19.8,7.78,87,3004,7.17
19.5,7.79,134,3706,6.62
19.6,7.83,155,3838,6.95
19.6,7.81,137,3886,6.7
19.5,7.77,139,4448,6.05
19.3,7.78,95,3889,6.69
19.3,7.75,114,3792,6.07
19.3,7.74,87,3991,6.03
19.2,7.76,73,3488,6.34
19.2,7.72,90,4141,5.74
19.2,7.71,82,3444,6.43
19.2,7.66,61,3565,5.48
19.2,7.63,64,3606,5.02
19.2,7.62,72,3656,4.94
19.2,7.6,63,1675,4.59
19.2,7.59,44,2878,4.91
19,7.6,31,2596,5.45
19.1,7.54,80,3229,4.55
19.2,7.56,67,3198,4.33
19.2,7.56,76,3001,4.88
19.3,7.55,87,3544,4.09
19.2,7.64,130,3101,5.52
19.3,7.64,132,3899,5.35
20.2,7.87,109,3171,7.91
19.7,7.69,125,3697,5.82
19.6,7.74,114,3133,6.11
19.9,7.85,177,3397,7.52
19.7,7.79,123,3659,6.98
19.7,7.78,110,3653,6.84
19.7,7.82,103,3513,7.07
19.7,7.82,95,3612,7.12
19.7,7.77,102,912,6.6
19.7,7.75,91,3672,5.95
19.6,7.71,80,3765,5.79
19.7,7.76,74,3599,7.02
19.7,7.69,86,3155,5.91
19.6,7.67,82,3744,5.45
19.4,7.67,72,2127,5.39
19.6,7.64,72,3491,5.37
19.5,7.61,67,3357,4.9
19.5,7.58,85,3360,4.48
19.5,7.57,84,3276,4.34
19.6,7.6,65,3450,4.8
19.7,7.65,58,3118,5.56
19.8,7.66,78,3023,5.87
19.7,7.65,70,3276,6.11
19.8,7.67,65,3326,5.92
20.3,7.94,60,2980,9
20.4,7.98,87,3222,8.63
20.4,7.99,132,3421,8.42
20.1,7.85,124,3646,7.05
20,7.79,115,3814,6.39
19.6,7.67,94,4542,4.72
19.6,7.71,99,4318,4.88
19.6,7.65,103,4138,4.31
19.8,7.74,106,4780,5.22
19.8,7.72,113,4536,4.84
19.7,7.76,74,4545,5.52
19.7,7.74,76,4504,5.27
19.8,7.73,85,4597,4.86
19.9,7.73,85,4771,4.6
19.7,7.71,63,4411,4.98
19.8,7.67,72,4560,4.53
19.7,7.66,77,4589,4.61
19.6,7.65,53,4343,4.53
19.6,7.63,67,4296,4.38
19.7,7.62,89,4511,4.12
19.8,7.61,101,4524,4.14
19.8,7.63,96,4697,4.61
19.8,7.61,107,4618,4.16
20,7.7,88,4591,5.13
20,7.67,92,4621,4.48
19.8,7.65,91,4520,4.34
19.7,7.65,106,4590,3.73
19.7,7.65,104,4878,3.75
19.7,7.63,111,5360,3.36
19.7,7.73,114,4661,4.24
19.7,7.76,133,5255,4.73
19.6,7.74,100,3851,4.69
19.6,7.76,74,4668,4.82
19.7,7.73,53,4032,4.81
19.7,7.7,45,3519,4.85
19.7,7.66,39,3507,4.82
19.6,7.64,49,3684,4.46
19.6,7.63,43,3098,4.41
19.4,7.65,34,3456,4.81
19.4,7.63,31,3079,5.21
19.3,7.62,29,3415,5.01
19.3,7.6,38,3390,4.9
19.2,7.62,35,3360,4.89
19.5,7.6,54,3450,4.61
19.8,7.56,66,3905,3.71
19.9,7.55,93,4044,3.73
20,7.58,101,4016,3.59
20,7.62,88,4076,4.33
19.9,7.6,88,3902,4.62
19.7,7.6,98,4215,4.46
19.8,7.7,97,4129,5.43
19.8,7.65,112,4237,5.48
19.8,7.65,93,4404,4.73
19.7,7.64,99,4386,4.65
19.8,7.67,118,4300,4.6
19.7,7.66,86,3729,4.85
19.6,7.63,79,4089,4.67
19.7,7.6,57,3479,4.46
19.8,7.59,45,3554,4.24
19.8,7.56,40,3429,4.23
19.6,7.56,38,3345,4.11
19.6,7.64,26,3109,5.38
19.6,7.62,31,3146,5.01
19.7,7.55,35,2857,3.96
19.5,7.59,31,3035,4.92
19.5,7.59,35,3014,4.94
19.5,7.59,35,3077,4.8
19.8,7.51,45,3311,3.56
20,7.49,54,3364,3.13
19.9,7.64,97,3302,5.39
20.1,7.61,62,2336,6.05
20.2,7.69,53,3286,6.77
20.5,7.82,64,2882,7.94
20.7,8.04,72,2999,9.76
20.8,8.03,64,2609,9.37
20.7,8.1,52,2719,10.34
20.5,7.97,44,2862,9.27
20.2,7.77,54,3105,7.05
20.4,7.84,49,2652,7.62
20.1,7.65,59,3099,6.24
20.1,7.67,50,2852,6.18
20.1,7.71,42,1710,6.75
20,7.6,50,3413,4.88
19.9,7.58,53,3678,4.61
19.9,7.59,51,3207,4.78
19.9,7.58,55,3808,4.59
19.8,7.56,67,4207,3.63
19.7,7.58,45,3753,4.5
19.6,7.57,43,3083,4.43
19.6,7.55,49,3615,4.02
19.5,7.56,51,3544,4.07
19.4,7.56,67,3016,4.09
19.5,7.63,44,3434,5.32
19.6,7.67,47,3478,5.24
19.7,7.61,62,3519,4.69
19.7,7.56,70,3599,4.34
19.8,7.64,60,3581,5.3
19.7,7.66,78,3734,5.15
19.7,7.76,73,3364,6.15
19.6,7.76,73,3668,6.33
19.6,7.76,64,3756,6.13
19.4,7.73,58,3198,6.11
19.4,7.73,68,3845,6.25
19.3,7.72,67,3257,6.17
19.2,7.71,60,3478,6.14
19.1,7.65,65,3681,5.32
19.1,7.68,66,3974,4.84
19.1,7.64,66,3550,4.68
19,7.6,56,3826,3.96
19,7.54,32,3351,3.85
19.1,7.52,23,2675,4
19,7.49,24,2379,3.98
18.9,7.48,34,2394,3.82
18.8,7.48,32,2482,3.78
18.8,7.5,36,2429,3.94
19,7.48,62,2532,3.72
19.2,7.53,50,2631,4.34
19.3,7.48,50,2912,3.64
19.3,7.54,141,3042,4.19
19.6,7.55,159,1432,4.6
19.5,7.53,160,2681,4.2
19.8,7.56,135,2833,4.68
19.9,7.64,105,2684,5.34
19.6,7.57,109,2949,4.53
19.3,7.53,111,3264,3.88
19.3,7.52,94,3357,3.62
19.3,7.52,103,3348,3.45
19,7.53,97,2706,4.73
19.1,7.49,94,3335,3.36
19.2,7.48,93,3462,3
19.3,7.53,86,3554,3.26
18.7,7.55,86,3280,3.92
18.7,7.52,81,2940,3.71
18.7,7.51,42,2946,3.92
19.1,7.51,59,3487,3.01
19.2,7.49,72,3385,2.69
19.2,7.49,63,3829,2.93
18.5,7.51,42,3173,3.53
19.1,7.5,63,3826,2.56
19.1,7.5,80,4007,2.85
18.9,7.55,160,4218,3.82
18.9,7.57,147,3927,4.06
18.9,7.67,97,3596,4.55
18.9,7.58,126,4181,4.57
19,7.58,119,4162,4.12
19.1,7.61,102,4288,4.5
19.4,7.66,85,4144,5.12
19.3,7.61,93,3942,4.65
19.2,7.59,100,4211,4.44
19.1,7.59,86,3994,4.61
19.1,7.59,90,3730,4.42
19.1,7.57,86,4230,4.25
19,7.56,87,4282,3.93
19,7.57,80,4390,4.07
18.9,7.58,75,3547,4.27
18.6,7.56,62,3762,4.18
18.8,7.53,73,3544,3.66
18.8,7.51,50,3369,3.38
18.8,7.53,54,3697,3.37
18.7,7.51,50,3506,3.35
18.6,7.49,55,3308,3.23
18.3,7.49,53,3088,3.89
18.2,7.53,33,2899,5.49
18.2,7.54,33,2476,5.51
18.5,7.56,33,1842,6.03
18.6,7.51,50,3070,4.88
18.7,7.59,47,2466,5.95
18.7,7.54,46,2930,5.84
19.1,7.64,42,2827,7.18
18.6,7.49,44,3179,4.29
18.7,7.55,49,3101,4.91
18.8,7.58,60,3421,6.04
18.8,7.54,80,3804,4.88
18.9,7.6,83,4230,5.93
18.9,7.57,76,3267,5.25
18.9,7.57,77,4064,5.37
18.9,7.54,84,4233,4.9
18.8,7.49,68,3700,3.8
18.7,7.54,58,3127,4.66
18.6,7.48,56,3366,4.23
18.7,7.47,56,2952,4.04
18.6,7.48,51,2693,4.57
18.6,7.47,44,2435,5.55
18.6,7.45,45,2700,4.68
18.6,7.43,45,2516,4.38
18.5,7.42,44,2815,4.3
18.5,7.46,37,1447,4.73
18.7,7.47,36,604,5.38
18.8,7.47,46,2027,5.76
18.9,7.43,55,2703,4.7
19.2,7.48,53,2802,5.31
19.1,7.45,49,2450,5.33
19.2,7.43,64,951,4.88
19,7.42,74,2884,4.55
18.9,7.42,79,3307,4.24
18.9,7.43,96,3954,3.78
18.9,7.47,94,3973,3.83
19,7.47,75,3976,3.51
18.9,7.49,81,2497,3.49
18.9,7.48,81,4274,3.53
18.9,7.46,84,3539,3.37
19,7.47,88,4262,4.01
18.7,7.46,57,3675,4.58
18.8,7.43,66,3028,3.88
19,7.43,69,3841,3.98
19,7.43,66,3120,3.73
19,7.45,61,4119,4.11
18.9,7.44,62,2639,3.61
18.9,7.44,65,4339,3.54
18.8,7.43,68,4264,3.64
18.7,7.43,63,3672,3.53
18.6,7.42,69,3892,3.42
18.6,7.42,60,4012,4.04
18.7,7.43,66,4101,4.25
18.9,7.46,59,4063,5.18
18.8,7.46,53,3584,5.33
18.9,7.44,66,4138,5.02
18.9,7.45,65,3752,5.24
18.9,7.47,82,4057,5.02
18.9,7.46,68,3618,5.63
18.9,7.44,78,4110,5.19
18.8,7.43,64,4161,5.12
18.7,7.47,53,3777,5.48
18.6,7.42,49,3777,5.41
18.4,7.42,40,3575,5.63
18.3,7.39,44,3672,5.14
18.3,7.41,47,2986,5.84
18.2,7.38,37,3424,5.51
18.2,7.36,37,3276,5.24
18,7.36,48,3446,4.84
18,7.39,73,3145,4.5
18,7.36,55,3191,4.1
17.9,7.35,49,3313,4.21
17.7,7.35,65,3503,4.01
17.6,7.36,96,3200,3.67
17.7,7.35,72,3117,3.71
18,7.35,63,3721,4.23
18.4,7.36,59,3886,4.99
18.7,7.37,51,3951,4.61
18.7,7.35,45,3960,4.37
18.8,7.34,45,3918,4.47
18.6,7.34,38,3829,3.89
18.6,7.34,38,3832,3.89
18.4,7.34,44,3200,3.28
18.3,7.33,42,3813,3.5
18.3,7.33,46,3885,3.55
18.2,7.34,41,3882,3.59
18.1,7.33,42,3838,3.57
18,7.33,43,3554,3.49
17.9,7.33,43,3816,3.85
18.1,7.34,40,3841,4.25
18.1,7.3,46,3629,5.4
18,7.31,37,3734,4.97
17.9,7.32,37,3783,4.37
17.8,7.33,37,3703,4.25
17.7,7.32,36,3684,4.07
17.5,7.32,37,3753,4.07
17.5,7.32,33,3706,3.97
17.6,7.33,33,3718,4.1
17.8,7.33,27,2899,5.6
17.9,7.31,34,3176,5.05
18,7.31,30,3424,4.38
18.2,7.34,29,3627,5.48
18.2,7.31,27,3098,5.38
18.5,7.34,34,3531,7.18
18.7,7.34,40,3599,7.42
18.2,7.31,32,3515,4.81
18.1,7.31,33,3493,3.92
18.1,7.31,37,3879,3.81
18.1,7.32,40,3908,3.55
18.1,7.33,44,3936,2.81
18.1,7.33,48,4134,2.91
18.1,7.33,50,4116,2.93
18,7.31,61,3841,4.77
17.9,7.3,57,3348,4.38
17.7,7.31,53,3298,4.37
17.7,7.31,40,3430,3.65
18,7.31,43,4302,3.11
18,7.32,43,4122,2.76
17.5,7.33,37,3421,2.91
17.2,7.33,34,3418,3.36
17.2,7.32,37,3886,3.1
17.3,7.31,33,3718,3.92
