tem,PH,tur,elec,oxy
19.2,7.28,16,2133,3.81
0,0,0,0,0
19.4,7.2,4,2189,3.05
19.6,7.33,23,2152,3.65
19.9,7.47,11,2139,5.64
19.9,7.44,11,2152,5.09
19.6,7.32,22,2173,3.89
20.2,7.61,15,2176,6.33
20.1,7.64,14,2152,6.86
20,7.58,23,2155,6.27
19.8,7.5,14,1830,5.38
19.7,7.47,14,2176,5.24
19.6,7.43,18,1989,4.69
19.5,7.4,24,2176,4.21
19.5,7.37,35,2201,3.83
19.4,7.36,22,2191,5.63
19.3,7.34,19,2201,4.01
19.2,7.32,32,2207,3.51
19.1,7.33,19,2170,3.84
19.1,7.31,24,1983,3.35
19.1,7.28,15,2229,3.27
19,7.28,17,2210,3.04
19.2,7.29,8,2247,2.96
19.4,7.34,59,2247,4.11
19.6,7.41,12,2247,5.09
21,7.99,34,2218,10.68
20.2,7.54,9,2231,6.41
20,7.46,6,2247,5.8
19.9,7.38,20,2241,5.09
19.7,7.26,3,2244,2.84
20.4,7.51,7,2231,4.71
20.4,7.59,10,2204,8.4
20.1,7.48,11,2210,6.22
19.8,7.35,10,2216,4.41
19.6,7.27,6,2210,3.06
19.5,7.23,3,2204,2.37
19.5,7.2,16,2241,1.72
19.4,7.2,1,2260,1.56
19.4,7.2,6,2259,1.53
19.4,7.21,16,2182,1.83
19.4,7.21,1,2213,2.37
19.4,7.21,4,2213,2.18
19.4,7.21,6,2207,2.63
19.4,7.19,1,2204,2.28
19.5,7.18,8,2188,2.23
19.5,7.17,1,2192,2.06
19.7,7.18,1,2176,2.01
20.1,7.22,19,2173,2.99
20.5,7.31,9,2120,4.82
20.5,7.24,6,2136,3.57
20.2,7.16,17,2152,1.87
20.3,7.18,4,2133,1.97
21.9,7.72,15,2111,9.51
21.7,7.54,11,2083,7.59
21.4,7.42,11,2105,6.09
21,7.32,16,2105,4.91
20.7,7.25,6,2114,3.95
20.4,7.22,10,2114,3.39
20.3,7.21,19,2142,3.01
20.2,7.18,14,2145,3.04
20.1,7.17,1,2225,1.87
20,7.16,16,2241,1.63
20,7.16,1,2260,1.49
19.9,7.14,2,2213,2.03
19.9,7.15,0,2219,1.85
20,7.15,5,2222,1.65
20,7.15,0,2204,1.86
20,7.14,5,2219,1.75
19.9,7.16,0,2370,1.5
19.8,7.16,16,2369,1.65
19.8,7.17,1,2369,1.89
19.8,7.17,17,2572,2.19
19.9,7.18,17,2522,2
20,7.2,17,2547,3.25
20.2,7.24,24,2681,3.23
20.4,7.28,29,2668,4.49
20.5,7.25,22,2777,3.75
20.4,7.24,19,3232,2.83
20.4,7.31,23,2980,3.4
20.4,7.34,26,2893,4.56
20.3,7.27,42,2541,3.63
20.1,7.3,17,2952,4.12
20.2,7.29,21,2871,3.91
20.2,7.26,36,3044,3.59
0,0,21,0,3.37
19.9,7.25,17,2942,3.31
19.8,7.27,18,2933,3.93
19.9,7.25,18,2886,3.31
19.8,7.23,18,2995,3.57
19.8,7.21,17,2881,2.7
19.8,7.21,16,3004,2.69
19.7,7.18,29,2921,2.48
19.6,7.17,13,2871,2.05
19.6,7.16,12,2830,2.03
19.6,7.16,26,2862,1.69
19.6,7.15,11,2842,2.5
19.7,7.15,12,2878,1.9
19.8,7.14,11,2877,2.12
19.8,7.16,14,2868,2.36
19.9,7.16,19,2887,2.49
19.9,7.14,14,2881,2.5
19.9,7.13,17,2887,2.69
19.8,7.13,24,2892,1.86
19.8,7.15,12,2874,3.7
19.7,7.15,11,2877,2.71
19.6,7.16,25,2858,3.5
19.6,7.14,7,2874,3.48
19.6,7.13,7,2905,2.33
19.6,7.12,13,2899,1.76
19.6,7.13,6,2992,1.93
19.6,7.13,7,3025,2.05
19.5,7.13,7,3057,1.57
19.5,7.13,4,3041,2.45
19.4,7.13,20,3039,1.36
19.4,7.11,4,2985,1.96
19.4,7.11,4,2512,1.6
19.2,7.11,19,2985,2.21
19.2,7.1,6,2943,1.95
19.3,7.11,7,2964,1.54
19.4,7.12,16,2961,2.34
19.6,7.15,16,3050,3.94
20,7.2,10,2525,3.74
20.3,7.31,16,2266,5.29
20.3,7.2,13,2409,3.9
20.2,7.18,32,2497,3.56
20.6,7.35,13,2459,5.82
20.8,7.59,51,2494,7.53
20.3,7.26,48,2519,4.11
20.2,7.29,33,2525,4.61
20.1,7.33,26,2504,5.34
20,7.3,23,2382,4.91
20,7.26,19,2316,4.65
20,7.18,32,2450,2.51
19.9,7.18,21,2649,3.15
19.8,7.21,24,2593,3.57
20.1,7.23,34,2862,3.29
19.8,7.19,17,2846,3.8
19.8,7.18,15,2406,4.54
19.9,7.19,29,2839,3.34
19.8,7.15,7,2786,2.05
19.6,7.15,11,2706,2.79
19.4,7.14,7,2596,2.39
19.4,7.14,6,2581,2.32
19.4,7.14,7,2562,3.31
19.4,7.17,10,2565,3.5
19.7,7.15,19,2690,2.72
19.6,7.22,27,2662,3.84
19.8,7.23,13,2639,4.03
19.8,7.26,14,2633,4.16
19.8,7.3,35,2510,5.34
19.7,7.24,21,2627,5.71
19.7,7.3,28,2616,4.81
19.6,7.17,26,2795,2.38
19.6,7.18,20,2737,3.31
19.3,7.22,23,2677,3.45
19.2,7.19,24,2699,3.78
19.3,7.19,17,2624,2.75
19.2,7.19,32,2606,3.31
19.2,7.2,25,2725,2.36
19.2,7.19,21,2811,2.83
19.1,7.18,26,2476,3.97
19.2,7.17,16,2746,2.76
19.2,7.18,19,2864,2.23
19,7.16,11,2718,2.61
19.2,7.16,20,2930,2.81
18.8,7.15,25,2668,2.66
18.8,7.16,11,2639,3.56
18.9,7.16,16,2746,3.72
19,7.16,26,2745,3.07
19.3,7.16,7,2786,3.22
19.4,7.24,11,1152,5.17
19.3,7.09,31,2758,4.51
20.4,7.4,35,2714,7.91
20.2,7.42,33,2692,8.33
20.1,7.42,33,2623,8
20.2,7.45,35,2568,8.46
20,7.41,38,2629,7.88
19.9,7.34,41,2469,7.42
19.8,7.31,43,2629,6.57
19.6,7.26,40,2468,6.55
19.6,7.24,32,2583,5.83
19.6,7.23,33,2565,6.11
19.6,7.23,33,2568,5.84
19.5,7.21,30,2550,5.58
19.5,7.2,32,2571,5.27
19.6,7.17,36,2730,4.54
19.5,7.19,32,2620,4.29
19.5,7.17,41,2664,3.98
19.5,7.15,36,2645,4.2
19.3,7.15,35,2611,4.18
19.3,7.18,35,2602,4.07
19.5,7.27,26,2458,6.62
19.8,7.32,29,2390,7.26
20.5,7.51,33,2227,9.24
20.2,7.38,28,2340,7.98
19.8,7.18,34,2515,5.44
19.7,7.14,31,2543,4.22
19.9,7.18,27,2512,5.11
20,7.23,33,2468,5.65
19.9,7.2,43,2602,4.75
19.8,7.23,43,2440,5.06
19.8,7.28,44,2623,5.59
20,7.33,36,2749,6.37
20,7.32,46,2823,5.83
20.1,7.3,51,2926,5.6
20,7.33,38,2503,6.42
20,7.34,33,2845,6.24
20,7.32,28,2774,6.84
20,7.26,38,2924,5.27
19.8,7.26,33,2864,5.86
19.8,7.28,36,2886,5.7
19.6,7.24,31,2842,5.53
19.6,7.22,30,2749,4.99
19.6,7.2,33,2842,4.3
19.6,7.21,34,2767,4.92
19.8,7.19,37,2864,4.47
19.9,7.17,41,2889,3.91
20,7.16,35,3004,4.36
20.4,7.26,35,2960,5.64
21.2,7.45,30,2883,8.39
21.2,7.54,33,2506,9.37
20.8,7.43,32,2833,8.23
20.6,7.41,36,2883,8.04
20.7,7.46,51,2926,8.54
20.6,7.43,52,2937,8.25
20.6,7.39,51,2764,7.28
20.5,7.37,47,3060,6.77
20.3,7.31,46,3172,6.15
20.3,7.3,46,3160,6.09
20.2,7.29,44,3181,5.84
20.1,7.31,36,2979,6.76
20,7.28,35,3070,6.61
20.1,7.28,33,2970,6.38
20.1,7.25,37,1101,5.49
20,7.25,42,3166,5.51
20.1,7.21,44,3228,5.15
19.9,7.22,32,3160,5.33
19.7,7.22,33,3098,5.63
19.8,7.24,29,2540,6.16
19.9,7.27,28,3002,7.13
20.1,7.27,35,2736,6.6
20.1,7.24,36,3016,5.99
20.1,7.23,42,3028,5.62
20.3,7.24,37,3025,6.57
21.2,7.46,32,3034,9.38
21.4,7.5,35,3041,9.62
20.2,7.21,38,3056,5.45
20.3,7.21,37,3007,5.58
21.1,7.5,37,3034,9.67
20.6,7.26,39,2814,6.38
20.9,7.38,37,2654,7.98
21,7.46,41,3043,9.02
21,7.43,46,3016,8.56
20.8,7.4,36,2908,8.39
20.5,7.33,35,2655,7.85
20.4,7.28,32,2646,7.04
20.2,7.25,28,2466,7.36
20.3,7.22,32,2484,6.9
20.3,7.25,25,2406,7.03
20.5,7.25,28,2381,7.35
20.6,7.24,29,1314,7.68
20.5,7.2,35,2306,6.61
20.4,7.22,29,2225,6.93
20.5,7.19,41,2313,7.28
20.5,7.14,46,2462,6.34
20.4,7.11,70,2553,5.65
20.5,7.11,63,2826,4.71
20.6,7.13,60,3151,5.55
20.6,7.14,60,3113,5.2
20.7,7.14,56,1157,5.1
20.6,7.16,62,3942,5.9
20.6,7.19,67,4183,4.75
20.6,7.2,92,4415,5.07
20.6,7.2,80,4028,4.23
20.6,7.2,88,4395,4.59
20.5,7.2,77,4404,4.3
20.5,7.21,74,4153,4.12
20.5,7.21,77,4286,4.63
20.4,7.21,71,4202,4.79
20.1,7.24,58,3649,4.93
20.3,7.18,68,4470,5.55
20.1,7.23,57,3758,5.1
20.3,7.19,60,3436,4.33
20.1,7.18,47,4088,4.19
19.9,7.2,76,3826,5.01
20.1,7.18,70,3411,4.24
20.1,7.17,55,3266,5.29
20.1,7.16,36,2848,3.57
20.1,7.15,32,2801,5.66
20.3,7.14,51,3151,3.3
20.4,7.15,50,3082,4.02
20.4,7.15,54,3204,2.55
20.4,7.14,54,3111,3.9
20.5,7.14,52,3029,3.79
20.4,7.15,52,3184,3.6
20.3,7.15,57,3360,2.29
20.2,7.16,50,3621,2.3
20.2,7.18,41,3522,4.49
20.3,7.17,45,3975,3.79
20.2,7.19,49,4128,2.89
19.6,7.21,53,3599,3.36
19.6,7.19,53,3493,5.07
19.7,7.19,42,3519,4.06
19.7,7.18,49,3671,4.03
19.8,7.18,47,3749,4.57
19.7,7.19,41,3813,4.4
19.4,7.19,39,3307,4.29
19.4,7.18,35,3528,4.65
19.3,7.16,40,3584,3.46
19.2,7.16,36,3580,3.54
19.2,7.15,42,3596,3.55
19.5,7.15,56,3266,3.7
19.7,7.16,49,3992,2.23
19.6,7.17,51,3758,2.89
19.6,7.16,61,3734,3.73
19.4,6.96,70,3581,4.75
19.6,7.34,73,3313,7.02
19.6,7.26,82,3289,5.81
19.7,7.19,93,3384,4.09
19.7,6.23,92,3478,3.26
19.5,6.22,67,2715,3.79
19.4,6.21,77,2802,4.72
19.4,6.2,64,2578,4.67
19.3,6.21,58,2437,4.42
19.3,6.2,57,1593,4.35
19.2,6.2,55,1662,4.17
19.1,6.2,54,2218,4
19.2,6.2,54,2057,3.51
19.3,6.19,42,1930,2.52
19.2,6.18,41,1817,2.27
19.1,6.2,53,2051,2.23
19.1,6.24,63,2521,3.42
19.2,6.23,83,2381,2.47
19.5,6.14,59,1185,2.44
19.6,6.14,45,1014,2.49
19.8,6.14,51,903,3.18
20.1,6.16,56,1044,3.22
20.9,6.16,79,1011,4.84
21.7,6.14,102,1026,6.48
21.3,6.08,70,1086,6.69
21.4,6.04,80,1095,6.63
21.5,5.88,87,1060,6.06
20.5,7.12,77,1111,3.72
20.3,6.84,54,1158,2.77
20.1,6.83,45,1198,1.93
20.1,6.83,41,1168,1.92
20,6.83,37,1180,1.74
20,6.85,35,1198,1.7
19.9,6.85,31,1232,1.93
19.9,6.85,31,1204,1.9
20,6.85,31,1204,2.1
20,6.86,33,1186,2.35
20,6.87,35,1194,2.25
20,6.88,38,1161,3.1
20,6.87,33,1189,2.42
20,6.89,31,1226,1.88
20,6.88,29,1217,1.73
20,6.89,30,1225,1.67
20,6.89,32,1210,1.91
20,6.9,36,1313,1.87
20.2,6.91,38,1437,2.08
20.3,6.91,42,1385,2.72
20.1,6.92,46,1624,2.61
20.4,6.92,57,1544,2.35
20.2,6.93,57,1568,1.87
20.2,6.93,54,1687,1.71
20.2,6.93,54,1729,2.25
20.2,6.95,49,2028,1.63
20.3,6.95,55,1883,1.94
20.3,6.96,57,2026,1.81
20.3,6.95,55,1877,2.39
20.2,6.98,49,2550,1.62
20.2,6.97,48,2364,1.64
20.2,6.97,45,2252,2.24
20.2,6.97,53,2381,1.92
20.3,6.97,51,2182,1.85
20.1,6.95,52,1762,2.13
20.1,6.96,53,1883,1.96
20.2,6.98,49,2339,1.58
20,6.96,50,1851,1.95
20,6.97,49,1767,2.12
20,6.98,55,2200,1.56
20,6.98,57,2048,2.68
20.1,6.99,55,2284,1.71
20.2,6.99,54,2310,1.92
20.3,6.99,59,2272,1.84
20.4,6.99,66,2292,2.62
20.6,6.99,78,2173,3.35
20.6,7,98,2319,2.98
20.7,6.99,95,2301,3.52
20.4,7,66,2539,2.21
20.4,7.01,55,2588,2.5
20.4,7.01,71,2472,3.52
20.4,7.01,68,2512,2.95
20.2,7,74,2559,3.06
20.1,7.01,65,2622,2.66
20.2,7.03,67,3098,2.1
20.2,7.03,61,3185,1.88
20.1,7.02,59,2839,2.41
20,7.02,55,2655,2.57
20,7.02,48,2746,2.25
19.9,7.01,50,2596,2.26
19.8,7.01,49,2624,2.23
20.1,7.03,64,2861,1.54
19.9,7.02,54,2733,1.7
20,7.03,54,2942,1.61
19.8,7.02,47,2769,2.24
20,7.03,49,3064,1.75
20,7.03,45,3004,1.94
20,7.03,52,3035,2.36
20.2,7.03,69,2846,3.6
20.3,7.04,58,3005,2.45
21,7.03,83,2884,4.87
20.8,7.04,58,2890,3.91
21,7.03,57,2802,5.44
21.1,7.04,51,2824,5.65
21.2,7.04,69,2868,6.97
21,7.04,59,2852,6.61
20.6,7.04,74,3260,3.87
20.4,7.05,57,3229,3.93
20.4,7.03,52,2985,5.17
20.2,7.03,51,2893,4.76
20.3,7.05,45,3547,2.73
20.4,7.06,36,3767,3.22
20.3,7.06,43,3810,2.98
20.2,7.06,45,3855,2.57
20.3,7.06,47,3985,2.17
20.2,7.07,45,4233,1.66
20.1,7.07,38,4523,1.49
20.1,7.08,38,4875,1.47
19.8,7.08,44,4681,2.23
20.2,7.09,37,5711,1.67
19.8,7.08,45,4414,2.95
20,7.09,57,5484,2.04
20.1,7.1,39,6230,1.71
20.1,7.09,49,5302,3.04
20.2,7.09,70,5117,3.61
20,7.1,65,5341,2.29
19.9,7.1,62,5320,2.2
19.9,7.1,56,5856,1.92
19.9,7.11,45,6311,1.85
20,7.11,36,6703,1.56
19.4,7.1,57,5128,3.13
19.5,7.09,55,5617,2.78
19.7,7.11,46,6340,1.95
19.3,7.1,50,5860,3.04
19,7.1,41,5705,3.3
18.6,7.1,38,5462,3.72
18.6,7.09,41,4988,4.51
18.4,7.08,42,4663,4.49
18.6,7.09,45,5138,3.63
18.6,7.09,45,5035,3.5
18.5,7.09,39,4593,3.8
18.4,7.08,39,4442,3.86
18.3,7.08,47,4422,3.87
18.3,7.08,46,4386,3.71
18.3,7.07,48,4066,4.42
18.5,7.07,47,3743,5.28
18.8,7.07,44,3637,5.99
19,7.07,54,3538,7.2
18.8,7.07,61,3807,5.06
18.8,7.07,54,3755,5.59
18.9,7.07,59,3721,5.64
19,7.07,68,3694,6.92
18.8,7.07,49,3654,7.62
18.8,7.07,48,3861,6.87
18.5,7.07,42,3633,7.48
18.5,7.07,31,3487,6.89
18.4,7.06,26,3247,6.13
18.6,7.06,28,3285,5.89
18.6,7.06,32,3266,5.86
18.6,7.07,29,3351,5.71
18.7,7.07,30,3490,5.36
18.6,7.07,29,3341,4.95
18.6,7.07,32,3313,4.66
18.4,7.06,27,3176,4.39
18.3,7.07,26,2998,4.34
18.4,7.06,47,3079,4.02
18.3,7.07,53,2967,4.52
18.7,7.07,64,3369,3.73
18.9,7.08,54,3706,3.47
18.9,7.08,41,3605,3.71
18.9,7.08,37,3675,3.65
19,7.08,36,3490,5.29
19.1,7.08,33,3182,8.64
18.9,7.08,35,3469,4.89
18.7,7.06,31,3528,3.84
18.7,7.06,39,4156,3.57
18.7,7.07,39,4386,3.44
18.7,7.08,39,4432,3.72
18.7,7.08,33,4769,3.26
18.7,7.08,42,4668,3.17
18.8,7.08,39,4625,3.46
18.7,7.1,31,5089,2.94
18.7,7.11,41,5460,2.83
18.8,7.11,45,5414,3.55
18.9,7.11,55,4681,2.69
18.7,7.1,45,4349,3.69
18.8,7.11,52,5030,2.44
18.8,7.11,40,5174,2.53
18.5,7.11,39,4722,3.03
18.4,7.11,37,4637,3.28
18.5,7.11,35,4569,3.45
18.6,7.11,40,4597,3.36
18.9,7.11,37,4857,2.21
19,7.12,42,4922,2.35
19,7.13,41,5202,2.79
19.1,7.13,41,5373,2.43
19.4,7.13,44,5340,2.95
19.4,7.14,47,5120,3.57
19.5,7.14,56,5009,4.24
19.1,7.13,50,5201,3.1
19,7.13,46,5818,2.02
19.1,7.12,35,4915,5.08
19.2,7.12,42,4786,5.29
19.1,7.12,43,4905,4.38
19.1,7.12,43,4865,4.3
19.3,7.12,45,5077,4.39
19.3,7.13,42,5089,4.13
19.1,7.12,29,4805,5.6
18.9,7.12,24,4663,5.75
19,7.12,26,4643,5.84
18.9,7.12,26,4644,5.47
19,7.12,28,4682,5.59
19,7.12,29,4678,5.34
19,7.12,26,4585,5.38
19,7.12,29,4569,5.58
19.2,7.12,55,4628,4.83
19.3,7.12,46,4609,4.77
19.4,7.13,48,4650,5.05
19.7,7.14,32,4511,8.58
19.6,7.14,28,4423,8.31
19.9,7.15,29,4411,9.74
20.2,7.16,32,4414,11.71
19.7,7.16,32,4508,7.95
19.6,7.59,36,4523,6.33
19.8,7.97,42,4538,9.23
19.8,8.06,26,4362,9.54
19.8,8.16,31,4390,9.95
19.7,7.87,35,4471,8.72
19.9,8,29,4386,9.41
19.9,8.01,33,4390,9.34
19.7,7.56,38,4355,6.79
19.5,7.46,40,4423,5.48
19.6,7.49,36,4090,6.01
19.6,7.7,29,4257,7.63
19.6,7.82,27,4081,8.44
19.6,7.74,29,4279,8.2
19.5,7.74,29,3898,8.18
19.5,7.85,25,3607,8.67
19.8,7.98,33,3805,9.2
19.9,8.09,40,3691,9.7
19.7,7.79,33,3713,8.67
19.7,7.76,31,3688,8.53
20.4,8.23,34,3585,10.37
20.7,8.48,32,3682,11.76
20.6,7.95,49,3914,9.77
20.4,7.86,42,4000,8.53
20.4,7.77,39,4248,7.9
20.1,7.63,45,4468,7.19
19.8,7.42,49,5218,5.04
20,7.54,50,5392,6.15
19.9,7.47,50,5905,5.3
19.8,7.51,46,5568,5.75
19.8,7.4,45,5865,4.39
19.8,7.48,43,5577,5.22
19.9,7.72,42,5219,6.96
19.9,7.57,51,5385,6.03
19.9,7.53,53,5489,5.83
19.7,7.57,40,5301,6.14
19.6,7.62,32,5104,6.53
19.7,7.61,36,4847,6.62
19.7,7.53,46,5190,5.8
19.7,7.47,62,5129,5.48
19.6,7.59,47,4865,6.35
19.7,7.49,62,5125,5.46
19.8,7.39,64,5469,4.56
19.9,7.45,55,5451,5.04
19.9,7.63,45,3490,6.57
20,7.63,50,5190,6.84
20.1,7.45,65,6374,5
20,7.5,53,5452,5.61
20,7.53,45,5495,6.45
20,7.38,50,5566,5.18
20,7.44,53,5640,4.74
20,7.41,61,5545,4.84
20,7.49,61,5233,5.76
20.1,7.45,62,5403,5.41
20,7.51,57,5548,5.45
20.1,7.38,55,5466,5.39
20.1,7.55,64,5439,5.12
20.1,7.65,51,5506,6.64
20,7.63,55,5481,6.92
20,7.67,47,5345,7.34
19.8,7.83,36,5245,7.84
19.8,7.76,32,5052,7.97
19.8,7.75,35,5104,7.79
19.7,7.75,39,5040,7.8
19.8,7.72,42,5358,7.3
19.9,7.69,44,3908,7.45
19.9,7.69,49,5280,7.53
20.2,7.99,43,5056,9.45
20.4,8.13,57,4948,9.5
20.5,8.15,50,4942,9.75
21.8,8.54,40,4301,12.91
21.6,8.34,52,4485,11.51
21.4,8.49,47,4559,11.69
21.1,8.3,46,4646,10.52
21.5,8.43,47,4216,11.25
20.9,8.22,42,4593,10.13
20.9,8.26,44,4523,9.63
21,8.16,45,4383,9.57
20.8,7.95,50,4188,8.77
20.8,7.98,48,4377,8.71
20.6,7.9,52,4599,8.45
20.6,7.8,47,4602,8.48
20.6,7.88,52,4464,8.91
20.5,7.75,45,4574,8.59
20.5,7.78,53,4433,8.16
20.6,7.7,49,4393,7.95
20.7,7.9,33,3944,9.2
20.8,7.91,51,3777,9.21
20.9,7.98,36,3709,9.42
20.8,7.87,56,3663,8.83
20.8,7.82,67,3777,8.65
20.9,7.85,68,3764,8.65
20.9,7.89,55,3823,8.67
20.9,7.81,60,3462,8.37
20.9,7.86,46,3731,9.2
21.4,8.26,58,3202,12.69
21.7,8.4,62,3052,12.78
21.2,7.99,46,3676,9.98
21.2,8.01,48,3651,9.21
21.2,8.04,51,3539,9.38
21.3,8.11,59,3437,9.61
21.4,8.04,60,3074,9.34
21.1,8.05,58,2215,9.42
21.1,7.88,55,2817,9.23
21,7.72,48,2785,8.43
20.9,7.42,43,2608,6.87
20.8,7.35,37,2523,5.71
20.4,7.31,45,2517,4.96
20.2,7.3,59,2587,3.64
20.3,7.23,64,3148,2.78
20.2,7.21,59,3557,2.49
20.2,7.18,45,2776,3.78
20.4,7.24,38,2467,4.5
20.4,7.25,57,2492,4.21
20.4,7.23,50,2693,3.76
20.5,7.2,38,2938,1.94
21,7.23,32,2981,3.25
21,7.22,35,2968,3.23
21,7.24,42,2941,3.38
21.5,7.27,47,2892,4.61
21.2,7.37,62,2520,5.52
20.9,7.15,46,3017,2.52
20.9,7.29,71,1420,4.23
20.5,7.24,50,2993,3.33
20.5,7.18,42,2889,3
20.4,7.2,38,3024,3.11
20.4,7.23,41,3099,3.53
20.4,7.25,44,3201,3.65
20.4,7.26,42,3033,4
20.3,7.23,43,3030,3.71
20.3,7.22,49,2886,3.43
20.2,7.23,56,2783,3.05
20.2,7.21,55,2743,2.92
20.2,7.22,50,2801,3.24
20.5,7.16,41,2368,2.82
20,7.18,50,2990,3.07
20.1,7.22,54,3146,3.36
20,7.23,53,3280,3.76
20.1,7.24,53,3427,3.7
20.1,7.26,57,3437,4.04
20.3,7.22,75,3545,3.63
20.4,7.35,102,3582,5.05
20.5,7.57,82,3427,6.69
20.5,7.46,96,3502,6.07
20.3,7.36,117,3493,5.21
20.3,7.29,86,3756,4.23
20.2,7.29,78,3734,4.4
20.1,7.29,71,3493,4.29
20,7.31,70,2705,4.62
19.9,7.23,64,2746,4.12
19.9,7.23,55,2718,3.75
19.8,7.23,61,2706,3.72
19.9,7.32,58,2819,3.39
19.8,7.16,58,2758,4.1
19.8,7.12,49,2792,4.05
19.9,7.15,36,2507,3.12
19.9,7.13,32,2266,2.52
19.9,7.07,30,2212,2.39
19.8,7.1,30,2170,2.33
19.8,7.09,30,2259,2.22
19.8,7.11,29,2259,2.17
19.9,7.11,31,2269,2.36
20,7.18,37,2266,3.87
20.4,7.33,52,2278,5.87
20.7,7.43,71,1978,6.19
20.6,7.32,54,2250,5.94
20.5,7.32,53,2234,5.84
20.6,7.36,65,2225,6.28
20.8,7.44,102,2209,6.52
20.6,7.31,87,2209,5.69
20.5,7.26,71,2182,5.18
20.5,7.22,49,1783,5.05
20.4,7.28,45,2234,5.22
20.4,7.2,58,2209,4.85
20.2,7.15,36,2108,4.28
20.2,7.12,36,2071,3.99
20.1,7.15,36,1975,4.04
20,7.13,35,2093,3.66
20,7.1,36,2127,3.33
20,7.08,35,2176,3.24
20,7.1,39,2077,2.59
19.6,7.09,45,2049,2.74
19.6,7.07,43,2222,2.21
19.6,7.08,43,2845,2.09
19.5,7.42,56,3502,1.83
19.8,7.11,30,3185,3.07
19.6,7.15,35,2591,3.4
19.6,7.17,29,2477,3.58
19.6,7.23,32,2052,4.27
19.6,7.19,54,2319,3.86
19.4,7.2,47,2287,4.29
19.5,7.2,30,2313,3.93
19.3,7.25,40,1557,4.45
19.7,7.13,24,3005,1.66
19.2,7.17,24,2431,3.16
19,7.16,29,2399,3.1
18.8,7.18,30,2477,3.14
19.4,7.13,26,3008,2.1
19.1,7.15,22,2706,2.12
18.8,7.16,28,2508,2.55
18.6,7.15,22,2706,2.62
18.5,7.15,23,2715,2.3
18.6,7.15,24,2795,2.48
18.4,7.15,21,2566,2.64
18.2,7.17,21,2618,2.7
18.1,7.16,26,2402,2.33
17.9,7.18,30,2127,2.17
18,7.17,29,1910,2.43
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
20.7,4.81,59,56,8.5
20.4,5.53,59,56,8.56
,,,,
,,,,
20.8,6.04,59,59,8.6
21.3,6.15,59,59,8.5
21.8,6.2,61,59,8.42
22,6.23,59,61,8.37
22.2,6.25,59,61,8.34
22.2,6.26,59,62,8.33
22.3,6.27,59,65,8.3
22.3,6.29,61,65,8.27
22.4,6.3,59,65,8.24
22.4,6.31,59,70,8.22
22.5,6.32,59,69,8.2
22.5,6.33,59,72,8.17
22.6,6.33,59,71,8.16
22.6,6.33,58,74,8.15
22.6,6.33,59,74,8.14
22.5,6.33,57,74,8.16
22.3,6.31,60,78,8.22
22.1,6.29,55,77,8.26
22.1,6.28,54,78,8.28
22.1,6.26,63,81,8.29
22.2,6.25,54,81,8.29
22.2,6.23,52,81,8.28
22.2,6.21,58,84,8.28
22.2,6.19,65,85,8.27
22.2,6.18,65,84,8.26
22.2,6.15,74,88,8.26
22.2,6.13,76,87,8.28
22.1,6.11,79,87,8.3
22,6.1,81,88,8.32
22,6.09,79,90,8.35
21.9,6.08,81,91,8.36
21.8,6.07,81,91,8.38
21.8,6.07,81,93,8.4
21.7,6.06,81,93,8.41
21.7,6.07,83,93,8.43
21.6,6.07,83,93,8.44
21.6,6.07,81,94,8.46
21.5,6.07,83,97,8.47
21.5,6.08,83,97,8.48
21.5,6.08,83,97,8.5
21.4,6.07,83,98,8.52
21.4,6.07,83,97,8.53
21.5,6.08,83,100,8.54
21.7,6.15,83,99,8.51
,,,,
21.6,6.13,83,102,8.42
19.5,7.22,28,37,2.51
19.6,6.91,25,468,1.67
19.7,7.07,22,741,4.43
19.9,7.18,20,726,4.95
19.8,7.48,25,715,4.69
19.5,7.47,18,725,5.42
19.4,7.46,53,737,4.8
19.1,7.4,33,741,4.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
18.8,6.92,168,595,6.36
0,0,0,0,0
18.6,7.29,15,632,3.52
18.5,7.29,42,663,3.16
18.7,7.32,20,667,3.51
19.2,7.36,7,666,4.28
19.8,7.4,16,667,4.78
20.3,7.42,28,669,5.04
20.9,7.47,34,674,5.31
20.6,7.49,21,776,5.53
20.9,7.56,38,797,6.16
21.4,7.65,33,792,6.98
20.9,7.73,107,780,7.11
20.3,7.62,32,767,6.64
19.9,7.57,35,777,6.22
19.7,7.48,28,779,5.5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20.2,7.58,73,655,7.2
20.1,7.5,54,676,6.4
19.8,7.39,32,829,4.82
19.8,7.33,42,1045,4.16
