tem,PH,elec,tur,oxy
18.28,7.27,3144.54,181.52,4.70
18.25,7.26,3195.54,149.11,4.58
18.27,7.26,3126.96,163.89,4.47
18.30,7.26,3119.34,182.58,4.37
18.34,7.25,3107.71,160.40,4.31
18.35,7.24,3198.93,197.88,4.51
18.41,7.24,3242.44,222.14,4.90
18.50,7.25,3272.32,249.29,5.30
18.57,7.27,3155.15,252.79,5.81
18.62,7.27,3030.82,224.61,6.04
18.68,7.25,3002.57,220.54,5.92
18.69,7.25,2971.77,188.56,5.68
18.67,7.25,2889.70,142.98,5.64
18.63,7.25,2765.66,139.97,5.77
18.59,7.24,2630.07,131.05,5.93
18.55,7.23,2571.81,104.27,5.81
18.56,7.23,2530.82,129.72,5.66
18.55,7.22,2638.31,145.49,5.52
18.57,7.22,2666.31,144.47,5.41
18.56,7.22,2669.47,149.89,5.26
18.51,7.22,2676.34,137.48,5.08
18.41,7.22,2652.10,154.11,4.75
18.40,7.23,2795.73,154.93,4.60
18.42,7.23,2906.06,164.61,4.61
18.50,7.21,2814.92,221.31,4.85
18.60,7.22,2404.87,233.36,4.90
18.70,7.21,2243.56,281.16,4.34
18.80,7.22,2206.55,366.27,4.02
18.89,7.23,2194.30,417.32,4.04
18.95,7.25,2205.87,451.80,3.86
18.96,7.29,2226.57,424.74,3.71
19.01,7.34,2249.35,326.99,3.81
19.03,7.31,2267.42,276.70,4.03
19.00,7.35,2283.95,255.77,4.24
18.94,7.40,2320.11,254.40,4.33
18.91,7.43,2422.95,265.22,4.24
18.90,7.45,2526.27,262.72,4.04
18.89,7.47,2584.16,247.16,3.93
18.87,7.48,2536.83,217.37,3.86
18.82,7.48,2368.82,179.51,3.87
18.78,7.47,2363.40,156.52,3.78
18.74,7.46,2456.25,148.51,3.65
18.72,7.46,2472.48,152.33,3.49
18.71,7.45,2465.23,160.49,3.31
18.64,7.44,2463.71,130.50,3.20
18.60,7.43,2441.83,113.04,3.12
18.59,7.43,2462.02,94.32,3.08
18.59,7.43,2550.27,91.87,3.01
18.68,7.44,2794.63,115.25,2.80
18.77,7.46,3183.55,138.46,2.84
18.84,7.48,3405.48,148.78,3.13
18.86,7.50,3535.06,167.85,3.14
18.91,7.51,3479.02,161.76,3.14
18.95,7.52,3308.78,166.61,3.37
18.97,7.53,3514.11,174.62,3.44
19.01,7.56,3802.71,166.73,3.78
19.04,7.59,4015.33,160.66,4.11
18.95,7.60,4284.40,167.16,4.08
18.94,7.64,4247.91,158.44,4.36
18.89,7.67,4374.36,150.50,4.51
18.85,7.68,4244.24,131.04,4.78
18.86,7.68,4055.12,122.24,5.00
18.90,7.67,3730.42,109.06,4.85
18.85,7.65,3652.72,93.69,4.80
18.76,7.64,3259.90,70.67,4.91
18.71,7.63,2819.42,59.87,4.93
18.74,7.62,2287.96,55.47,4.95
18.72,7.61,2417.48,50.38,5.00
18.63,7.61,2139.96,37.93,5.31
18.48,7.59,1702.64,28.60,5.42
18.42,7.57,1888.84,25.44,5.36
18.41,7.56,2065.36,29.31,5.15
18.48,7.56,2297.20,42.84,4.96
18.63,7.56,2587.88,60.84,4.88
18.77,7.57,2877.72,84.95,4.87
18.90,7.60,3252.18,115.42,4.98
19.10,7.65,3151.16,118.24,5.56
19.24,7.69,3207.74,131.33,5.94
19.47,7.73,3103.21,118.15,6.53
19.57,7.75,3162.94,108.83,6.70
19.66,7.77,3258.84,108.91,6.90
19.61,7.80,3571.41,127.16,6.83
19.60,7.81,3805.08,139.99,6.81
19.56,7.80,3977.13,137.56,6.63
19.47,7.79,4132.48,129.35,6.40
19.37,7.77,4005.13,111.71,6.39
19.31,7.76,3906.00,104.09,6.22
19.27,7.75,3871.04,91.09,6.14
19.22,7.74,3763.32,82.56,6.15
19.20,7.72,3820.46,82.07,6.00
19.20,7.70,3646.90,76.89,5.96
19.20,7.67,3566.96,68.46,5.55
19.20,7.64,3441.34,65.61,5.17
19.19,7.62,3146.90,64.25,4.95
19.18,7.60,2553.95,57.72,4.81
19.15,7.59,2653.55,49.14,4.89
19.09,7.58,2751.62,48.27,4.96
19.11,7.56,3007.99,63.12,4.68
19.16,7.55,3126.35,69.94,4.53
19.20,7.56,3183.88,80.43,4.61
19.26,7.58,3346.18,95.63,4.68
19.32,7.63,3369.78,115.71,5.29
19.50,7.68,3533.78,122.99,5.84
19.79,7.76,3432.61,121.01,6.62
19.77,7.75,3473.70,125.73,6.43
19.74,7.77,3377.82,130.92,6.57
19.78,7.80,3453.89,143.70,7.00
19.74,7.80,3560.40,129.58,7.03
19.72,7.80,3543.64,115.72,7.00
19.70,7.81,3371.54,105.66,7.01
19.70,7.80,3056.03,98.94,6.90
19.69,7.78,2488.59,95.97,6.58
19.68,7.75,3112.21,89.57,6.25
19.66,7.73,3447.11,82.83,6.16
19.67,7.73,3482.54,79.42,6.33
19.65,7.70,3346.47,80.72,5.99
19.58,7.68,3278.37,78.80,5.63
19.51,7.66,2939.42,74.72,5.40
19.53,7.63,3191.22,73.10,5.18
19.51,7.61,3294.02,73.39,4.86
19.51,7.59,3332.47,78.00,4.59
19.53,7.58,3322.03,76.75,4.56
19.60,7.60,3310.97,69.57,4.86
19.67,7.63,3195.24,66.02,5.35
19.74,7.65,3140.97,69.20,5.79
19.80,7.68,3187.92,68.08,6.25
19.95,7.75,3193.46,67.86,6.88
20.19,7.88,3139.77,73.68,8.08
20.32,7.94,3243.71,92.22,8.38
20.30,7.94,3427.09,113.73,8.07
20.13,7.87,3662.05,118.30,7.20
19.95,7.79,3930.49,113.21,6.25
19.73,7.72,4251.52,104.26,5.27
19.65,7.70,4332.28,102.19,4.85
19.65,7.69,4381.05,103.09,4.67
19.72,7.71,4560.96,103.40,4.90
19.75,7.73,4568.15,99.76,5.01
19.73,7.74,4564.98,86.11,5.22
19.75,7.74,4566.00,81.01,5.16
19.79,7.73,4602.91,80.74,4.95
19.81,7.72,4627.31,78.02,4.80
19.77,7.70,4541.13,70.94,4.78
19.75,7.68,4529.85,69.91,4.64
19.69,7.66,4496.80,68.89,4.57
19.64,7.65,4409.53,64.90,4.47
19.64,7.63,4392.08,72.01,4.35
19.70,7.62,4470.63,84.90,4.24
19.76,7.62,4540.32,94.63,4.27
19.81,7.63,4613.02,97.76,4.43
19.86,7.64,4613.97,99.20,4.48
19.93,7.66,4600.52,94.16,4.68
19.92,7.66,4598.84,93.49,4.49
19.83,7.66,4607.73,95.65,4.23
19.75,7.65,4707.84,102.27,3.90
19.71,7.65,4896.08,106.90,3.75
19.70,7.67,5045.49,112.42,3.75
19.69,7.71,4903.67,116.26,4.14
19.67,7.74,4820.36,116.24,4.51
19.64,7.75,4406.72,99.17,4.69
19.64,7.75,4325.06,77.69,4.80
19.68,7.73,4015.31,59.13,4.82
19.69,7.70,3701.35,47.98,4.81
19.67,7.67,3551.78,42.83,4.73
19.61,7.65,3475.75,42.82,4.60
19.55,7.64,3302.25,39.69,4.61
19.44,7.64,3297.18,34.77,4.81
19.37,7.63,3236.55,31.62,5.01
19.31,7.62,3315.46,31.28,5.01
19.29,7.61,3363.54,35.42,4.92
19.33,7.61,3425.24,41.29,4.75
19.51,7.59,3567.59,54.30,4.42
19.73,7.57,3805.29,69.27,3.97
19.88,7.57,3959.45,85.36,3.80
19.96,7.58,4017.22,93.16,3.84
19.96,7.60,4043.37,92.42,4.19
19.89,7.61,4042.23,93.04,4.51
19.80,7.63,4137.82,96.90,4.75
19.79,7.66,4188.88,99.98,5.13
19.79,7.66,4270.01,103.94,5.19
19.77,7.66,4343.89,101.35,4.93
19.74,7.65,4323.55,102.56,4.77
19.74,7.66,4197.49,103.14,4.70
19.70,7.65,3966.56,90.07,4.70
19.68,7.63,3872.94,76.44,4.60
19.71,7.61,3643.15,60.49,4.45
19.75,7.59,3528.71,48.13,4.32
19.73,7.58,3414.19,40.26,4.32
19.66,7.58,3296.80,35.02,4.46
19.62,7.61,3159.18,30.19,4.84
19.61,7.60,3073.99,30.26,4.80
19.60,7.58,2978.51,31.58,4.56
19.54,7.58,3003.87,31.98,4.70
19.53,7.58,3047.38,34.55,4.66
19.59,7.56,3130.49,38.97,4.39
19.75,7.53,3235.72,48.08,3.93
19.89,7.54,3244.45,60.04,4.00
